"","NE.LocAvg","NW.LocAvg","YH.LocAvg","EM.LocAvg","WM.LocAvg","E.LocAvg","L.LocAvg","SE.LocAvg","SW.LocAvg","W.LocAvg","S.LocAvg","NI.LocAvg","TurnBandAvg1","TurnBandAvg2","TurnBandAvg3","TurnBandAvg4","SmallAvg","MediumAvg","largeAvg","Births","Deaths","InternalMigrationInflow","InternalMigrationOutflow","InternationalMigrationInflow","InternationalMigrationOutflow","Males","Females","PopulationEst","Sector"
"1",550,921,2344,3012,1758,4362,72,2120,2424,144,904,176,7746,9710,1182,36,17924,782,24,299,309,621,585,188,78,14822,15339,30161,"Agriculture, forestry & fishing"
"2",229,651,1022,1302,958,1941,81,1131,1518,110,198,179,4526,4295,449,52,8774,481,52,753,652,1336,1243,479,221,33739,34575,68314,"Agriculture, forestry & fishing"
"3",38,61,114,160,104,204,2,96,185,4,6,4,488,458,32,0,958,9,0,912,803,2021,1998,601,385,42013,43066,85079,"Agriculture, forestry & fishing"
"4",15,89,62,118,105,138,15,170,166,10,18,19,350,434,130,10,715,209,8,225,202,698,644,160,93,10875,11112,21987,"Agriculture, forestry & fishing"
"5",0,0,5,5,5,5,1,30,10,5,0,0,39,28,0,0,58,9,0,478,387,989,1003,359,198,21123,21493,42616,"Agriculture, forestry & fishing"
"6",0,0,0,1,0,1,2,1,0,0,0,0,5,0,0,0,6,0,0,1130,941,3098,2882,709,528,51208,52726,103935,"Agriculture, forestry & fishing"
"7",5,30,10,16,169,108,15,260,221,9,22,18,414,378,74,18,756,98,30,526,215,1128,1543,852,510,19777,19822,39599,"Agriculture, forestry & fishing"
"8",0,5,5,6,30,24,6,29,35,4,8,8,104,40,12,4,140,14,4,527,446,1563,1507,409,292,25002,25733,50734,"Agriculture, forestry & fishing"
"9",0,0,0,0,1,0,2,5,5,1,2,0,12,4,0,0,15,0,0,1037,1081,3335,2826,701,686,53805,55564,109369,"Agriculture, forestry & fishing"
"10",0,6,9,10,6,12,0,12,18,5,10,5,49,40,4,0,86,5,0,337,364,785,689,194,107,17198,17679,34877,"Agriculture, forestry & fishing"
"11",8,59,39,76,61,100,21,119,86,18,24,16,236,326,58,5,534,80,9,285,317,268,211,225,111,15014,15788,30803,"Agriculture, forestry & fishing"
"12",116,1275,490,465,854,115,10,322,1950,2758,1752,3735,6094,7049,694,8,13649,315,0,305,207,154,139,191,141,12574,12954,25528,"Agriculture, forestry & fishing"
"13",111,925,474,386,541,95,5,192,1441,301,409,1410,3002,3001,282,4,6134,84,2,386,399,802,756,243,101,19162,19829,38991,"Agriculture, forestry & fishing"
"14",930,2936,2058,1478,2595,868,65,1932,5322,116,89,41,11586,6659,178,8,18384,96,5,1263,1094,2240,2083,803,370,56553,57956,114509,"Agriculture, forestry & fishing"
"15",4,1,4,6,5,4,0,6,8,2,0,0,38,2,0,0,38,0,0,1048,923,2324,2297,691,443,48310,49521,97831,"Agriculture, forestry & fishing"
"16",756,2172,1522,1145,1854,631,35,1451,3792,5175,4888,4592,18718,8901,386,10,27630,446,2,708,635,2196,2024,503,293,34192,34936,69128,"Agriculture, forestry & fishing"
"17",35,94,404,128,106,312,0,134,242,31,40,95,652,792,156,19,1489,94,1,696,564,1442,1461,523,288,30775,31313,62088,"Agriculture, forestry & fishing"
"18",58,281,291,288,380,305,9,279,608,111,92,418,780,1918,382,39,2858,202,16,598,497,1638,1524,375,279,27080,27883,54963,"Agriculture, forestry & fishing"
"19",25,62,89,72,91,125,25,155,168,204,199,180,766,556,69,5,1301,85,1,1204,491,2582,3533,1951,1168,45269,45374,90643,"Agriculture, forestry & fishing"
"20",671,1229,1801,1619,1940,1471,90,1710,3708,3748,4905,6628,16815,11625,1058,21,28659,656,20,1271,1076,3772,3637,986,705,60353,62118,122471,"Agriculture, forestry & fishing"
"21",75,380,285,336,378,405,41,352,639,436,499,390,2519,1504,184,10,3898,185,5,606,632,1950,1652,410,401,31451,32479,63931,"Agriculture, forestry & fishing"
"22",44,186,120,144,155,188,34,279,315,150,182,52,1072,735,40,1,1701,116,6,285,308,664,583,164,91,14549,14957,29506,"Agriculture, forestry & fishing"
"23",2,1,9,4,4,14,5,10,12,1,11,5,29,31,16,2,58,15,0,299,332,280,221,235,116,15709,16519,32227,"Agriculture, forestry & fishing"
"24",0,0,0,0,0,5,1,1,2,0,0,0,2,5,1,1,10,0,0,377,256,191,172,237,175,15545,16016,31561,"Agriculture, forestry & fishing"
"25",15,9,26,19,21,28,5,36,50,6,56,4,120,146,9,0,241,30,0,212,219,441,416,133,55,10528,10894,21422,"Agriculture, forestry & fishing"
"26",78,121,114,90,152,156,89,370,344,182,671,38,1150,1111,136,9,2268,131,6,807,698,1431,1330,513,236,36118,37013,73131,"Agriculture, forestry & fishing"
"27",28,35,34,40,46,45,21,94,88,50,140,8,302,301,22,1,599,16,0,793,698,1758,1738,523,335,36553,37469,74022,"Agriculture, forestry & fishing"
"28",39,66,62,70,84,110,68,204,121,86,211,10,614,489,29,0,1074,38,0,629,564,1949,1796,447,260,30344,31004,61347,"Agriculture, forestry & fishing"
"29",106,56,168,26,8,152,11,212,599,156,1794,175,1779,1484,188,14,3339,75,0,922,747,1910,1936,693,381,40780,41494,82274,"Agriculture, forestry & fishing"
"30",10,12,10,11,11,14,1,28,26,12,45,8,105,82,1,0,179,4,0,970,807,2658,2473,609,453,43934,45237,89171,"Agriculture, forestry & fishing"
"31",5,10,9,6,5,14,5,24,36,12,118,21,112,126,20,6,230,30,5,649,265,1392,1905,1052,630,24405,24462,48867,"Agriculture, forestry & fishing"
"32",1,14,9,11,12,10,5,36,26,9,32,6,64,99,10,0,151,20,0,738,625,2190,2111,573,409,35034,36058,71092,"Agriculture, forestry & fishing"
"33",4,0,0,4,0,0,0,0,0,5,0,0,1,4,1,5,5,0,6,35,36,113,95,24,23,1816,1875,3691,"Production"
"34",1,0,0,2,0,4,34,5,0,0,22,0,6,11,18,34,32,12,22,27,29,63,55,16,9,1376,1414,2790,"Production"
"35",10,6,4,4,2,9,11,6,0,1,19,0,26,40,4,2,68,0,0,906,1006,850,670,714,353,47671,50129,97800,"Production"
"36",6,15,34,25,8,11,2,15,32,24,18,31,31,95,75,20,130,79,14,50,34,25,23,31,23,2043,2105,4147,"Production"
"37",1,10,10,5,12,18,4,25,10,6,20,38,18,48,74,20,90,62,10,55,57,114,107,34,14,2718,2812,5530,"Production"
"38",0,0,0,0,0,0,0,0,6,0,0,8,4,6,2,2,14,1,0,675,584,1197,1113,429,198,30214,30963,61177,"Production"
"39",0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,5,1,63,55,139,137,41,27,2891,2963,5854,"Production"
"40",8,18,22,24,18,26,61,26,21,20,28,9,106,138,35,2,251,19,0,505,453,1567,1444,359,209,24399,24929,49328,"Production"
"41",11,5,10,10,4,15,24,16,8,2,106,2,56,62,44,51,140,50,22,131,106,270,274,98,54,5773,5874,11647,"Production"
"42",5,6,12,19,16,11,35,12,21,9,11,4,49,98,15,1,145,8,0,807,672,2213,2059,507,377,36577,37662,74239,"Production"
"43",11,40,32,26,34,24,24,30,35,20,36,25,65,131,85,56,210,102,30,236,96,506,692,382,229,8873,8893,17766,"Production"
"44",0,14,11,6,21,15,5,5,5,2,5,11,10,28,32,31,42,40,19,113,96,336,324,88,63,5376,5533,10909,"Production"
"45",19,72,51,32,78,44,61,42,44,31,52,29,86,242,160,68,311,196,44,106,111,341,289,72,70,5508,5688,11196,"Production"
"46",5,15,46,5,5,12,18,15,32,10,121,19,44,120,91,49,165,110,30,54,58,125,110,31,17,2738,2814,5552,"Production"
"47",1,2,5,5,6,5,4,4,2,0,5,8,8,15,12,12,25,11,12,52,58,49,38,41,20,2725,2865,5590,"Production"
"48",0,4,5,1,5,10,18,14,10,2,2,1,25,34,12,1,54,18,0,111,75,56,51,70,51,4577,4715,9292,"Production"
"49",6,48,40,34,34,48,86,58,52,20,31,34,212,161,69,48,369,86,36,69,71,143,135,43,18,3424,3543,6966,"Production"
"50",0,5,9,5,5,5,14,8,5,0,6,0,25,19,9,9,45,10,5,204,177,362,337,130,60,9139,9365,18504,"Production"
"51",0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,5,5,0,0,983,865,2178,2154,648,415,45291,46426,91716,"Production"
